"cod_ann","location","nature","type","title","link","price","date_modified","has_photo","is_professional","scrape_date"
"3435544","Oued Ellil","Location","App. 3 pi�c","Appartement jamais habit�","Details_Annonces_Immobilier.asp?cod_ann=3435544&titre=Appartement jamais habit� � oued ellil manouba","500","14/11/2025","false","true","2025-11-14T15:42:50.024Z"
"3435011","Ezzahra","Location","App. 1 pi�c","Studio � ezzahra","Details_Annonces_Immobilier.asp?cod_ann=3435011&titre=Studio � ezzahra","400","14/11/2025","true","true","2025-11-14T15:42:50.808Z"
"3430301","Cite Erriadh","Location","Surfaces","Local commercial sur deu","Details_Annonces_Immobilier.asp?cod_ann=3430301&titre=Local commercial sur deux niveaux","2 000","14/11/2025","true","false","2025-11-14T15:42:51.575Z"
"3435013","Ezzahra","Location","App. 3 pi�c","Appart s2 � ezzahra","Details_Annonces_Immobilier.asp?cod_ann=3435013&titre=Appart s2 � ezzahra","600","14/11/2025","true","true","2025-11-14T15:42:53.504Z"
"3431850","Ezzahra","Location","App. 2 pi�c","Appart s1 hts a ezza","Details_Annonces_Immobilier.asp?cod_ann=3431850&titre=Appart s1 hts a ezzahra","800","14/11/2025","true","true","2025-11-14T15:42:54.190Z"
"3427730","La Soukra","Location","Maisons","Villa de luxe meubl� ave","Details_Annonces_Immobilier.asp?cod_ann=3427730&titre=Villa de luxe meubl� avec piscine � la soukra","9 000","14/11/2025","true","false","2025-11-14T15:42:55.062Z"
"3387146","Ezzahra","Location","App. 2 pi�c","Studio s1 � ezzahra","Details_Annonces_Immobilier.asp?cod_ann=3387146&titre=Studio s1 � ezzahra","131","14/11/2025","true","true","2025-11-14T15:42:55.885Z"
"3407705","Cite Des Juges","Vente","App. 2 pi�c","Appartement s1 � la mars","Details_Annonces_Immobilier.asp?cod_ann=3407705&titre=Appartement s1 � la marsa","310 000","14/11/2025","true","false","2025-11-14T15:42:56.590Z"
"3431789","Bizerte","Location","App. 2 pi�c","Appartements  s1 � usage","Details_Annonces_Immobilier.asp?cod_ann=3431789&titre=Appartements  s1 � usage bureautique","600","14/11/2025","true","false","2025-11-14T15:42:57.449Z"
"3435543","Ezzahra","Location","App. 3 pi�c","Appart s2 meubl� � z","Details_Annonces_Immobilier.asp?cod_ann=3435543&titre=Appart s2 meubl� � zahra","131","14/11/2025","true","true","2025-11-14T15:42:58.261Z"
"3434073","Bizerte","Location","App. 2 pi�c","Appartement meubl� � l'a","Details_Annonces_Immobilier.asp?cod_ann=3434073&titre=Appartement meubl� � l","600","14/11/2025","true","false","2025-11-14T15:42:59.073Z"
"3434203","Bizerte","Location","App. 2 pi�c","Appartement  bureautique","Details_Annonces_Immobilier.asp?cod_ann=3434203&titre=Appartement  bureautique au plein centre ville","750","14/11/2025","true","false","2025-11-14T15:42:59.901Z"
"3435542","Ariana","Vente","Surfaces","Fonds de commerce","Details_Annonces_Immobilier.asp?cod_ann=3435542&titre=Fonds de commerce","150 000","14/11/2025","true","false","2025-11-14T15:43:00.783Z"
"3435541","Hammamet","Vente","Maisons","V565 villa madera madera","Details_Annonces_Immobilier.asp?cod_ann=3435541&titre=V565 villa madera madera","695 000","14/11/2025","true","false","2025-11-14T15:43:01.940Z"
"3435527","Montplaisir","Bureaux & Commer","Bureau","Montplaisir bureau 2","Details_Annonces_Immobilier.asp?cod_ann=3435527&titre=Montplaisir bureau 223 m2 4eme etage","4 500","14/11/2025","true","true","2025-11-14T15:43:02.645Z"
"3435522","Berge Du Lac","Bureaux & Commer","Bureau","Bureau 300 m2 lac 1","Details_Annonces_Immobilier.asp?cod_ann=3435522&titre=Bureau 300 m2 lac 1","8 500","14/11/2025","true","true","2025-11-14T15:43:03.501Z"
"3378846","Carthage","Location","Maisons","Villa en s5 avec piscine","Details_Annonces_Immobilier.asp?cod_ann=3378846&titre=Villa en s5 avec piscine � carthage","8 000","14/11/2025","true","false","2025-11-14T15:43:04.313Z"
"3430219","Berge Du Lac","Location","Maisons","Penthouse s4 avec piscin","Details_Annonces_Immobilier.asp?cod_ann=3430219&titre=Penthouse s4 avec piscine lac 2","8 500","14/11/2025","true","false","2025-11-14T15:43:05.129Z"
"3428141","La Soukra","Location","App. 4 pi�c","S3 � la soukra","Details_Annonces_Immobilier.asp?cod_ann=3428141&titre=S3 � la soukra","1 900","14/11/2025","true","false","2025-11-14T15:43:06.045Z"
"3316865","Hedi Chaker","Bureaux & Commer","Bureau","Bureau h3 au centre vill","Details_Annonces_Immobilier.asp?cod_ann=3316865&titre=Bureau h3 au centre ville","290 000","14/11/2025","true","false","2025-11-14T15:43:06.902Z"
"3421965","Marsa Safsaf","Vente","App. 3 pi�c","S2 � la marsa ville","Details_Annonces_Immobilier.asp?cod_ann=3421965&titre=S2 � la marsa ville","600 000","14/11/2025","true","false","2025-11-14T15:43:07.700Z"
"3413941","Berge Du Lac","Location","App. 3 pi�c","S2 au lac 1 � usage habi","Details_Annonces_Immobilier.asp?cod_ann=3413941&titre=S2 au lac 1 � usage habitation ou bureautique","1 450","14/11/2025","true","false","2025-11-14T15:43:08.435Z"
"3398481","Cite Ennasr 2","Vente","Maisons","Villa � ennasr 2","Details_Annonces_Immobilier.asp?cod_ann=3398481&titre=Villa � ennasr 2","1 700 000","14/11/2025","true","true","2025-11-14T15:43:09.201Z"
"3424666","El Menzah 9","Vente","Maisons","Villa � menzah 9","Details_Annonces_Immobilier.asp?cod_ann=3424666&titre=Villa � menzah 9","1 350 000","14/11/2025","true","true","2025-11-14T15:43:09.966Z"
"3432607","Bab Bhar","Vente","App. 5 pi�c","Une villa sur deux niveaux �","Details_Annonces_Immobilier.asp?cod_ann=3432607&titre=Une villa sur deux niveaux � montfleury","900 000","14/11/2025","false","false","2025-11-14T15:43:10.748Z"
"3401904","Cite Ennour Jaa","Vente","Maisons","Petite maisonnette e","Details_Annonces_Immobilier.asp?cod_ann=3401904&titre=Petite maisonnette en s1 � ariana","145 000","14/11/2025","true","true","2025-11-14T15:43:11.511Z"
"3425600","Bab Bhar","Location","App. 1 pi�c","Commercial au centre ville tu","Details_Annonces_Immobilier.asp?cod_ann=3425600&titre=Commercial au centre ville tunis","1 500","14/11/2025","false","false","2025-11-14T15:43:12.282Z"
"3424533","La Mannouba","Vente","App. 4 pi�c","S3 � la mannouba","Details_Annonces_Immobilier.asp?cod_ann=3424533&titre=S3 � la mannouba","260 000","14/11/2025","true","true","2025-11-14T15:43:13.032Z"
